title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set),,"https://images-na.ssl-images-amazon.com/images/I/41dHJa3a6OL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Religion', 'Spirituality', 'New Age']",,,,https://www.amazon.com/dp/0062466593,,,,0062466593,4.8
The Bad Seed (The Food Group),,"https://images-na.ssl-images-amazon.com/images/I/41o4ElxdqTL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/006246776X,,,,006246776X,4.8
The Rose Code: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/51tXM4TLUxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0062943472,,,,0062943472,4.7
Divergent,,"https://images-na.ssl-images-amazon.com/images/I/51dGX+odxcL._SY344_BO1,204,203,200_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/0062024027,,,,9780062024022,4.6
Divergent / Insurgent,,"https://images-na.ssl-images-amazon.com/images/I/51h4JPR8ZIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/0062024043,,,,9780062024046,4.6
"Insurgent (Divergent Series, 2)",,"https://images-na.ssl-images-amazon.com/images/I/51xAOiKz4iL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/0062024051,,,,0062024051,4.6
Allegiant,,"https://images-na.ssl-images-amazon.com/images/I/51WKe9aGJIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/006202406X,,,,006202406X,3.9
"Allegiant (Divergent Series, 3)",,"https://images-na.ssl-images-amazon.com/images/I/51uKkJzieBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/0062024078,,,,0062024078,3.9
The 48 Laws of Power,,"https://images-na.ssl-images-amazon.com/images/I/41KY-NORo9L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Politics', 'Social Sciences', 'Government']",,,,https://www.amazon.com/dp/0140280197,,,,0140280197,4.7
The Hate U Give,,"https://images-na.ssl-images-amazon.com/images/I/417uKEjLwZL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/0062498533,,,,0062498533,4.8
Brave New World,,"https://images-na.ssl-images-amazon.com/images/I/41-n-3hZMeL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Literature', 'Fiction', 'United', 'States']",,,,https://www.amazon.com/dp/0060850523,,,,0060850523,4.6
The Dutch House: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/515Jg9lLYaL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0062963686,,,,0062963686,4.4
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",,"https://images-na.ssl-images-amazon.com/images/I/51p8eaJSMhL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0060853964,,,,0060853964,4.7
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Cover may vary)",,"https://images-na.ssl-images-amazon.com/images/I/51FuLRqRQwL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0060853980,,,,0060853980,4.7
The Happy in a Hurry Cookbook: 100-Plus Fast and Easy New Recipes That Taste Like Home (The Happy Cookbook Series),,"https://images-na.ssl-images-amazon.com/images/I/51oNirCoKnL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Cookbooks', 'Food', 'Wine', 'Cooking', 'Education', 'Reference']",,,,https://www.amazon.com/dp/0062968394,,,,0062968394,4.6
"The Selection (The Selection, 1)",,"https://images-na.ssl-images-amazon.com/images/I/51S1EKvtBGL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen', 'Young Adult', 'Science-Fiction', 'Fantasy']",,,,https://www.amazon.com/dp/0062059947,,,,0062059947,4.6
The Song of Achilles,,"https://images-na.ssl-images-amazon.com/images/I/51IvdNGl8rL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0062060619,,,,0062060619,4.7
The Song of Achilles: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/514aE49swxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0062060627,,,,0062060627,4.7
Hatchet,,"https://images-na.ssl-images-amazon.com/images/I/512YBXRZW0L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/014032724X,,,,014032724X,4.7
The Alchemist - Gift Edition,,"https://images-na.ssl-images-amazon.com/images/I/41RV3UHnwsL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Reference', 'Writing', 'Research', 'Publishing', 'Guides']",,,,https://www.amazon.com/dp/0060887966,,,,0060887966,4.7
